Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL15,Patagonia,45365,7.98,7.98,,,,,,-,,,,1086,9/20/23,0.509027777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1024,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL15,Patagonia,45765,14.46,14.46,,,,,,-,,,,6284,10/2/23,0.309722222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,366,493,562,682,-,-,752,815,878,941,589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL15,Patagonia,66316,9.9,9.9,,,,,,-,,,,6155,10/13/23,0.375694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,439,623,773,900,1050,-,-,1142,1176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL15,Patagonia,66670,12.34,12.34,,,,,,-,,,,2060,10/24/23,0.405555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,303,451,-,-,-,596,673,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL15,Alo Yoga,A0191M,5.37,5.37,,,,,,-,,,,1821,12/18/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510,884,427,-,-,-,-,-,-,-,-,-,-,-,
AL15,Alo Yoga,A0477M,5.39,5.39,,,,,,-,,,,13481,12/1/23,0.341666666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,-,-,701,1004,1258,1495,-,-,-,1611,1697,1815,1883,1879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL15,W6290R,6.15,6.15,,,,,,-,,,,25511,11/7/23,0.265277777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,538,831,1047,1268,-,1405,1460,1570,1213,1539,-,-,1692,1750,1781,1782,1782,-,-,1817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,608,876,-,-,-,-,1098,1306,-,-,-,
Efficiency,AL15,W6290R,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.45,0.03,0.4,-,-,0.76,0.78,0.78,-,-,-,-,0.24,0.29,0.39,0.44,0.54,-,-,0.59,0.64,0.7,0.75,0.49,-,-,0.24,0.34,0.42,0.49,0.57,-,-,0.62,0.64,0.2,0.3,-,-,-,0.4,0.45,0.25,0.39,0.54,0.25,-,0.4,0.41,0.18,0.28,0.35,0.43,-,0.47,0.49,0.53,0.41,0.52,-,-,0.57,0.59,0.6,0.6,0.6,-,-,0.61,-,-,-,0.04,-,-,0.21,0.3,0.37,0.44,-,-,-,0.48,0.5,0.54,0.56,0.55,-,-,0.15,0.26,0.16,0.2,0.29,-,-,-,-,0.37,0.44,-,-,-,
AL16,Patagonia,24845,14.09,14.09,,,,,,-,,,,2061,10/19/23,0.361111111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,332,-,-,527,716,485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Patagonia,24885,13.98,13.98,,,,,,-,,,,3194,10/12/23,0.522916666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,336,-,-,532,722,787,816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Patagonia,45235,7.98,7.98,,,,,,-,,,,12876,9/25/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,1580,-,-,-,-,1580,1716,1771,1786,1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Patagonia,45250,7.98,7.98,,,,,,-,,,,3,9/20/23,0.861805555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Patagonia,45355,7.98,7.98,,,,,,-,,,,6953,10/6/23,0.720138888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461,-,-,1643,1643,1643,1563,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Alo Yoga,A0191M,5.37,5.37,,,,,,-,,,,10056,10/26/23,0.254166666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,624,957,1205,1457,1610,1673,-,1800,683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,Alo Yoga,A0477M,5.39,5.39,,,,,,-,,,,524,10/25/23,0.542361111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL16,CMP Intimo GS,A2A9P,11,11,,,,,,-,,,,19875,11/27/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,432,548,681,781,797,-,864,913,930,946,-,-,-,980,997,997,997,1030,1030,-,1047,1046,1046,1046,1046,-,-,-,-,1046,427,-,-,-,
Daily Prod,AL16,-,7.48,7.48,,,,,,-,,,,55542,9/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1580,1580,1580,-,-,-,-,1580,1716,1771,1786,1745,-,-,1643,1643,1643,1564,336,-,-,532,722,787,816,332,-,-,527,716,558,499,-,-,-,624,957,1205,1457,1610,1673,-,1800,683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,432,548,681,781,797,-,864,913,930,946,-,-,-,980,997,997,997,1030,1030,-,1047,1046,1046,1046,1046,-,-,-,-,1046,427,-,-,-,
Efficiency,AL16,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,0.69,0.69,-,-,-,-,0.69,0.75,0.77,0.78,0.76,-,-,0.72,0.72,0.72,0.68,0.26,-,-,0.41,0.55,0.6,0.62,0.26,-,-,0.41,0.55,0.4,0.15,-,-,-,0.18,0.28,0.35,0.43,0.47,0.49,-,0.53,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.26,0.33,0.41,0.47,0.48,-,0.52,0.55,0.56,0.57,-,-,-,0.59,0.6,0.6,0.6,0.62,0.62,-,0.63,0.63,0.63,0.63,0.63,-,-,-,-,0.63,0.26,-,-,-,
AL17,Patagonia,21975,26.63,26.63,,,,,,-,,,,2060,9/22/23,0.386111111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,381,587,767,-,-,-,-,314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,21995,18.28,18.28,,,,,,-,,,,58,9/21/23,0.367361111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,24811,21.8,21.8,,,,,,-,,,,1597,10/2/23,0.507638888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,576,827,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,24885,13.98,13.98,,,,,,-,,,,4750,9/14/23,0.271527777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,600,861,1084,-,-,1253,817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,45235,7.98,7.98,,,,,,-,,,,9167,11/28/23,0.627777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,1448,2135,2620,-,-,2739,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,45250,7.98,7.98,,,,,,-,,,,12000,12/7/23,0.250694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2159,-,-,-,3305,3434,3102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,45355,7.98,7.98,,,,,,-,,,,14575,12/4/23,0.336805555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,3078,3306,1026,-,-,-,-,-,339,3572,3146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,45385,7.98,7.98,,,,,,-,,,,8653,12/19/23,0.408333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1594,1187,2914,1932,-,-,-,-,1026,-,-,-,-,
AL17,Patagonia,45390,7.98,7.98,,,,,,-,,,,2268,12/15/23,0.296527777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427,-,-,964,877,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,57505,13.11,13.11,,,,,,-,,,,42,9/13/23,0.729861111111111,,,,PPD,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,58495,19.2,19.2,,,,,,-,,,,14500,10/31/23,0.523611111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,456,646,799,931,-,1083,1179,1275,1370,1427,1428,-,1427,1427,992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Patagonia,59060,24.75,24.75,,,,,,-,,,,12476,10/10/23,0.322916666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,294,430,540,-,-,645,700,735,787,819,-,-,833,855,878,886,-,-,-,886,543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,437,658,-,-,834,639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL17,Zara,ZA-Pant,13,13,,,,,,-,,,,824,10/9/23,0.250694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420,404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL17,-,15.5,15.5,,,,,,-,,,,82970,9/13/23,0.250694444444444,,,,PPD,-,-,-,-,-,-,-,-,-,42,89,-,-,-,-,-,-,58,12,-,-,381,587,767,-,-,-,-,477,576,827,30,-,-,-,420,448,294,430,540,-,-,645,700,735,787,819,-,-,833,855,878,886,-,-,-,886,603,456,646,799,931,-,1083,1179,1275,1370,1427,1428,-,1427,1427,1026,437,658,-,-,834,685,600,861,1084,-,-,1253,1041,1448,2135,2620,-,-,2848,3078,3306,3185,-,-,-,3305,3434,3440,3572,3573,-,-,964,2471,1187,2914,1932,-,-,-,-,1026,-,-,-,-,
Efficiency,AL17,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,0.02,0.07,-,-,-,-,-,-,0.03,0.01,-,-,0.28,0.43,0.56,-,-,-,-,0.33,0.34,0.49,0.02,-,-,-,0.15,0.17,0.2,0.29,0.37,-,-,0.44,0.47,0.5,0.53,0.55,-,-,0.56,0.58,0.59,0.6,-,-,-,0.6,0.4,0.24,0.34,0.42,0.49,-,0.57,0.62,0.67,0.72,0.75,0.75,-,0.75,0.75,0.54,0.3,0.45,-,-,0.57,0.45,0.23,0.33,0.41,-,-,0.48,0.36,0.32,0.47,0.57,-,-,0.62,0.67,0.72,0.7,-,-,-,0.72,0.75,0.75,0.78,0.78,-,-,0.21,0.54,0.26,0.64,0.42,-,-,-,-,0.22,-,-,-,-,
AL20,Patagonia,32550,8.7,8.7,,,,,,-,,,,3912,9/4/23,0.250694444444444,,,,PPD,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,625,1544,1544,-,-,178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL20,Patagonia,32555,8.38,8.38,,,,,,-,,,,124,9/11/23,0.25,,,,PPD,-,-,-,-,-,-,-,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL20,Patagonia,32560,8.23,8.23,,,,,,-,,,,366,9/4/23,0.265972222222222,,,,PPD,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL20,Patagonia,45235,7.98,7.98,,,,,,-,,,,35950,10/10/23,0.35625,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,617,1786,1786,1786,-,-,1786,1785,1786,1786,1785,-,-,1786,1786,687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,-,-,-,1785,1786,1786,1785,1786,-,-,1786,1786,1786,1786,358,-,-,-,-,-,-,-,-,-,
AL20,Patagonia,45250,7.98,7.98,,,,,,-,,,,23948,10/3/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1336,1717,1717,1717,-,-,1769,1170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1786,-,1786,1786,1786,1786,1786,-,-,1786,1786,236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL20,Patagonia,45365,7.98,7.98,,,,,,-,,,,6799,12/1/23,0.4,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,1786,1785,1786,1425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
