Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL25,Patagonia,44595,14.39,14.39,,,,,,-,,,,4790,10/2/23,0.359027777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,747,1128,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568,1726,437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44600,16.31,16.31,,,,,,-,,,,2573,10/30/23,0.256944444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309,810,1145,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Patagonia,44605,14.7,14.7,,,,,,-,,,,2370,11/2/23,0.402777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,935,909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,4266,9/25/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1203,1203,1127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,238,-,-,-,-,-,-,-,-,-,-,-,
AL25,Arcteryx,X000007665,18.01,18.01,,,,,,-,,,,11758,9/18/23,0.277083333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,810,1053,678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,236,380,-,480,588,660,681,-,-,-,735,772,786,802,828,841,-,840,382,-,-,-,-,-,-,-,-,-,-,-,-,
AL25,Arcteryx,X000007739,29.4,29.4,,,,,,-,,,,-,1/9/24,0.355555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL25,-,17.02,17.02,,,,,,-,,,,66227,9/18/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,810,1053,678,-,1203,1203,1127,-,-,-,-,56,747,1128,1425,1551,-,-,1681,1816,1502,1016,1294,-,-,1433,1532,1181,1229,1469,-,-,1597,1726,1067,1165,-,-,-,651,810,1145,835,935,920,-,430,628,692,443,649,838,-,453,-,-,-,-,-,-,574,918,1271,1359,640,1019,-,1390,1516,1650,1490,236,380,-,480,588,660,681,-,-,-,735,772,786,802,828,841,-,840,877,516,692,944,-,-,-,-,1102,1320,-,-,-,
Efficiency,AL25,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,-,0.4,0.52,0.33,-,0.55,0.55,0.52,-,-,-,-,0.02,0.29,0.44,0.56,0.62,-,-,0.66,0.72,0.6,0.45,0.57,-,-,0.62,0.67,0.5,0.49,0.58,-,-,0.63,0.68,0.45,0.51,-,-,-,0.29,0.36,0.51,0.35,0.38,0.37,-,0.22,0.32,0.35,0.22,0.32,0.41,-,0.22,-,-,-,-,-,-,0.25,0.4,0.55,0.58,0.25,0.4,-,0.55,0.6,0.65,0.59,0.12,0.19,-,0.24,0.29,0.33,0.34,-,-,-,0.36,0.38,0.39,0.4,0.41,0.41,-,0.41,0.42,0.22,0.27,0.37,-,-,-,-,0.44,0.52,-,-,-,
AL30,LACOSTE,DH4923,25.35,25.35,,,,,,-,,,,117,11/24/23,0.254861111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL30,LACOSTE,DH5174,17.63,17.63,,,,,,-,,,,4737,11/29/23,0.304166666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,359,570,719,-,876,977,1012,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL30,LACOSTE,DH7362,24.96,24.96,,,,,,-,,,,31041,9/20/23,0.254166666666667,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,543,731,-,-,817,869,880,-,-,-,-,899,934,948,715,-,-,-,-,47,880,908,909,-,-,922,922,922,922,922,-,-,922,922,922,922,-,-,-,923,922,922,922,922,922,-,923,922,922,922,923,922,-,922,582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL30,LACOSTE,DH9884,25.35,25.35,,,,,,-,,,,1371,10/5/23,0.359027777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,324,-,-,468,562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL30,LACOSTE,L1313,15.24,15.24,,,,,,-,,,,172,9/4/23,0.258333333333333,,,,PPD,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL30,LACOSTE,PF7401,22.39,22.39,,,,,,-,,,,1827,11/24/23,0.302083333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,301,-,461,580,459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL30,-,24.53,24.53,,,,,,-,,,,39265,9/4/23,0.254166666666667,,,,PPD,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,543,731,-,-,817,869,880,-,-,-,-,899,934,948,732,324,-,-,468,609,880,908,909,-,-,922,922,922,922,922,-,-,922,922,922,922,-,-,-,923,922,922,922,922,922,-,923,922,922,922,923,922,-,922,582,-,-,-,-,-,-,-,-,-,143,301,-,461,580,473,359,570,719,-,876,977,1012,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Efficiency,AL30,-,,,,,,,,,,,,,,,,,,EFF Row,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,0.37,0.5,-,-,0.56,0.59,0.6,-,-,-,-,0.61,0.64,0.65,0.5,0.22,-,-,0.32,0.42,0.6,0.62,0.62,-,-,0.63,0.63,0.63,0.63,0.63,-,-,0.63,0.63,0.63,0.63,-,-,-,0.63,0.63,0.63,0.63,0.63,0.63,-,0.63,0.63,0.63,0.63,0.63,0.63,-,0.63,0.4,-,-,-,-,-,-,-,-,-,0.1,0.18,-,0.28,0.36,0.29,0.17,0.27,0.35,-,0.42,0.47,0.49,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL31,Patagonia,40235,19.13,19.13,,,,,,-,,,,5644,10/5/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,573,-,-,764,860,384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,410,601,-,-,-,-,778,886,-,-,-,
AL31,Patagonia,40250,24.56,24.56,,,,,,-,,,,3297,10/11/23,0.302777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,392,541,-,-,1115,1130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL31,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,17585,9/23/23,0.252777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,1203,1203,1153,-,-,-,-,1136,1203,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,880,886,898,901,918,936,-,943,930,943,943,-,-,-,943,633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL31,Arcteryx,X000007665,18.01,18.01,,,,,,-,,,,15163,9/19/23,0.273611111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,331,768,1046,845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310,531,654,-,-,618,706,722,782,-,-,-,826,842,857,886,901,901,-,902,931,664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL31,Arcteryx,X000007994,16.27,16.27,,,,,,-,,,,16340,11/8/23,0.265972222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,407,629,792,-,959,1062,1104,1187,1241,-,-,1264,1293,336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,417,635,800,965,-,1063,1107,1015,-,-,-,-,-,-,-,-,-,-,-,
AL31,Arcteryx,X000008452,18.01,18.01,,,,,,-,,,,17,9/13/23,0.427777777777778,,,,PPD,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL31,-,17.38,17.38,,,,,,-,,,,58046,9/13/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,140,331,768,1046,1078,-,1203,1203,1153,-,-,-,-,1136,1203,700,382,573,-,-,764,860,504,392,541,-,-,1115,1130,310,531,654,-,-,618,706,722,782,-,-,-,826,842,857,886,901,901,-,902,931,692,407,629,792,-,959,1062,1104,1187,1241,-,-,1264,1293,336,-,-,-,-,880,886,898,901,918,936,-,943,930,943,943,-,-,-,943,670,417,635,800,965,-,1063,1107,1023,410,601,-,-,-,-,778,886,-,-,-,
Efficiency,AL31,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-,0.07,0.16,0.38,0.52,0.52,-,0.55,0.55,0.53,-,-,-,-,0.52,0.55,0.32,0.2,0.3,-,-,0.4,0.45,0.28,0.26,0.36,-,-,0.75,0.76,0.15,0.26,0.32,-,-,0.3,0.35,0.36,0.39,-,-,-,0.41,0.41,0.42,0.44,0.44,0.44,-,0.44,0.46,0.34,0.18,0.28,0.35,-,0.43,0.47,0.49,0.53,0.55,-,-,0.56,0.58,0.15,-,-,-,-,0.41,0.41,0.41,0.42,0.42,0.43,-,0.43,0.43,0.43,0.43,-,-,-,0.43,0.31,0.19,0.28,0.36,0.43,-,0.47,0.49,0.46,0.21,0.31,-,-,-,-,0.41,0.46,-,-,-,
AL32,Arcteryx,X000007664,16.84,16.84,,,,,,-,,,,33212,9/12/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,77,202,1049,1138,-,-,1220,1231,1230,-,-,-,-,1210,1203,328,-,-,-,-,-,-,-,-,-,-,-,266,461,608,827,976,-,-,1068,1163,1110,1090,-,-,-,1063,1085,1093,1095,1106,1106,-,1131,1183,1195,1195,1196,1196,-,1195,1195,669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL32,Arcteryx,X000007739,29.4,29.4,,,,,,-,,,,15712,11/20/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173,300,410,510,584,597,-,646,684,696,708,733,745,-,746,746,771,770,-,-,-,783,783,783,784,783,783,-,783,172,-,-,-,-,-,-,-,19,221,-,-,-,
Daily Prod,AL32,-,23.66,23.66,,,,,,-,,,,48924,9/12/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,77,202,1049,1138,-,-,1220,1231,1230,-,-,-,-,1210,1203,328,-,-,-,-,-,-,-,-,-,-,-,266,461,608,827,976,-,-,1068,1163,1110,1090,-,-,-,1063,1085,1093,1095,1106,1106,-,1131,1183,1195,1195,1196,1196,-,1195,1195,669,-,-,-,-,173,300,410,510,584,597,-,646,684,696,708,733,745,-,746,746,771,770,-,-,-,783,783,783,784,783,783,-,783,172,-,-,-,-,-,-,-,19,221,-,-,-,
Efficiency,AL32,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,0.04,0.09,0.48,0.52,-,-,0.56,0.57,0.57,-,-,-,-,0.56,0.55,0.15,-,-,-,-,-,-,-,-,-,-,-,0.13,0.23,0.3,0.41,0.48,-,-,0.53,0.58,0.55,0.54,-,-,-,0.53,0.54,0.54,0.54,0.55,0.55,-,0.56,0.59,0.59,0.59,0.59,0.59,-,0.59,0.59,0.33,-,-,-,-,0.15,0.26,0.33,0.41,0.47,0.48,-,0.52,0.55,0.56,0.57,0.59,0.6,-,0.6,0.6,0.62,0.62,-,-,-,0.63,0.63,0.63,0.63,0.63,0.63,-,0.63,0.14,-,-,-,-,-,-,-,0.02,0.18,-,-,-,
AL34,Patagonia,40235,19.13,19.13,,,,,,-,,,,-,1/18/24,0.619444444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,Patagonia,40245,24.83,24.83,,,,,,-,,,,4780,12/6/23,0.323611111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,554,-,-,-,775,871,945,1019,353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,Patagonia,40250,24.56,24.56,,,,,,-,,,,6847,9/14/23,0.258333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,747,-,-,1116,558,-,1061,1116,-,-,-,-,1115,1116,-,-,-,
AL34,LACOSTE,DH7330,20.92,20.92,,,,,,-,,,,38020,9/22/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,576,-,-,716,793,796,30,-,-,-,841,904,890,905,969,1047,-,1048,1049,1082,1083,1101,1100,-,1100,1100,1101,1101,1101,1100,-,1100,1100,1100,1100,-,-,-,440,-,-,-,-,-,-,-,29,326,495,623,751,-,827,862,926,966,984,-,-,1007,1036,1047,1049,718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,LACOSTE,PF0965,20.04,20.04,,,,,,-,,,,289,9/15/23,0.604861111111111,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,LACOSTE,TF0043,13.77,13.77,,,,,,-,,,,137,11/7/23,0.394444444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,LACOSTE,TF7390,13.77,13.77,,,,,,-,,,,2501,11/2/23,0.258333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,516,765,-,961,193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL34,Arcteryx,X000007839,20.65,20.65,,,,,,-,,,,204,9/28/23,0.582638888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL34,-,20.66,20.66,,,,,,-,,,,52778,9/14/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,18,34,-,-,-,-,-,-,576,-,-,716,793,796,101,-,133,-,841,904,890,905,969,1047,-,1048,1049,1082,1083,1101,1100,-,1100,1100,1101,1101,1101,1100,-,1100,1100,1100,1100,-,-,-,440,-,63,258,516,765,-,961,359,326,495,623,751,-,827,862,926,966,984,-,-,1007,1036,1047,1049,718,-,-,-,-,-,-,-,-,-,-,-,263,554,-,-,-,775,871,945,1019,1100,-,-,1116,558,-,1061,1116,-,-,-,-,1115,1116,-,-,-,
Efficiency,AL34,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,0.01,0.02,-,-,-,-,-,-,0.33,-,-,0.41,0.45,0.46,0.06,-,0.07,-,0.48,0.52,0.51,0.52,0.55,0.6,-,0.6,0.6,0.62,0.62,0.63,0.63,-,0.63,0.63,0.63,0.63,0.63,0.63,-,0.63,0.63,0.63,0.63,-,-,-,0.25,-,0.03,0.13,0.19,0.29,-,0.36,0.14,0.19,0.28,0.36,0.43,-,0.47,0.49,0.53,0.55,0.56,-,-,0.58,0.59,0.6,0.6,0.41,-,-,-,-,-,-,-,-,-,-,-,0.18,0.38,-,-,-,0.53,0.59,0.64,0.69,0.74,-,-,0.75,0.37,-,0.71,0.75,-,-,-,-,0.75,0.75,-,-,-,